DATE,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
1/1/2014,33,46,40,657,1756
1/2/2014,35,50,43,657,1756
1/3/2014,36,45,41,657,1757
1/4/2014,32,41,37,658,1757
1/5/2014,24,38,31,658,1758
1/6/2014,22,39,31,658,1759
1/7/2014,28,45,37,658,1759
1/8/2014,30,41,36,659,1800
1/9/2014,29,42,36,659,1801
1/10/2014,30,47,39,659,1801
1/11/2014,32,47,40,659,1802
1/12/2014,30,47,39,659,1803
1/13/2014,29,42,36,659,1803
1/14/2014,31,47,39,659,1804
1/15/2014,35,51,43,659,1804
1/16/2014,35,55,45,700,1805
1/17/2014,42,57,50,700,1806
1/18/2014,38,54,46,700,1806
1/19/2014,37,51,44,700,1807
1/20/2014,36,53,45,659,1808
1/21/2014,40,55,48,659,1808
1/22/2014,31,44,38,659,1809
1/23/2014,31,46,39,659,1810
1/24/2014,39,54,47,659,1810
1/25/2014,41,62,52,659,1811
1/26/2014,42,58,50,659,1811
1/27/2014,38,51,45,659,1812
1/28/2014,29,39,34,658,1813
1/29/2014,30,36,33,658,1813
1/30/2014,28,39,34,658,1814
1/31/2014,33,42,38,658,1814
2/1/2014,35,50,43,657,1815
2/2/2014,37,49,43,657,1816
2/3/2014,36,50,43,657,1816
2/4/2014,36,55,46,656,1817
2/5/2014,38,53,46,656,1817
2/6/2014,39,49,44,655,1818
2/7/2014,39,52,46,655,1818
2/8/2014,37,52,45,655,1819
2/9/2014,34,57,46,654,1819
2/10/2014,36,54,45,654,1820
2/11/2014,34,52,43,653,1820
2/12/2014,35,52,44,653,1821
2/13/2014,35,49,42,652,1821
2/14/2014,36,48,42,652,1822
2/15/2014,38,55,47,651,1822
2/16/2014,36,46,41,651,1823
2/17/2014,36,43,40,650,1823
2/18/2014,37,45,41,649,1823
2/19/2014,35,46,41,649,1824
2/20/2014,33,47,40,648,1824
2/21/2014,34,48,41,647,1825
2/22/2014,34,48,41,647,1825
2/23/2014,33,48,41,646,1825
2/24/2014,33,50,42,646,1826
2/25/2014,33,47,40,645,1826
2/26/2014,36,50,43,644,1827
2/27/2014,36,55,46,643,1827
2/28/2014,36,57,47,643,1827
3/1/2014,41,55,48,642,1828
3/2/2014,31,45,38,641,1828
3/3/2014,31,42,37,640,1828
3/4/2014,34,43,39,640,1829
3/5/2014,33,46,40,639,1829
3/6/2014,35,46,41,638,1829
3/7/2014,34,54,44,637,1830
3/8/2014,34,43,39,637,1830
3/9/2014,36,47,42,636,1830
3/10/2014,32,47,40,635,1831
3/11/2014,31,49,40,634,1831
3/12/2014,29,50,40,633,1831
3/13/2014,33,55,44,632,1832
3/14/2014,36,51,44,632,1832
3/15/2014,32,48,40,631,1832
3/16/2014,31,49,40,630,1832
3/17/2014,36,53,45,629,1833
3/18/2014,35,53,44,628,1833
3/19/2014,35,53,44,627,1833
3/20/2014,33,48,41,626,1833
3/21/2014,30,48,39,626,1834
3/22/2014,30,43,37,625,1834
3/23/2014,32,45,39,624,1834
3/24/2014,31,51,41,623,1834
3/25/2014,34,53,44,622,1835
3/26/2014,35,55,45,621,1835
3/27/2014,31,46,39,620,1835
3/28/2014,29,43,36,620,1835
3/29/2014,32,39,36,619,1836
3/30/2014,32,41,37,618,1836
3/31/2014,31,42,37,617,1836
4/1/2014,34,45,40,616,1836
4/2/2014,33,52,43,615,1837
4/3/2014,36,51,44,614,1837
4/4/2014,31,50,41,614,1837
4/5/2014,31,51,41,613,1838
4/6/2014,35,49,42,612,1838
4/7/2014,35,49,42,611,1838
4/8/2014,35,52,44,610,1838
4/9/2014,36,53,45,610,1839
4/10/2014,35,55,45,609,1839
4/11/2014,37,56,47,608,1839
4/12/2014,36,52,44,607,1839
4/13/2014,32,49,41,606,1840
4/14/2014,31,50,41,606,1840
4/15/2014,36,53,45,605,1840
4/16/2014,40,59,50,604,1841
4/17/2014,42,58,50,603,1841
4/18/2014,43,60,52,602,1841
4/19/2014,43,60,52,602,1841
4/20/2014,41,57,49,601,1842
4/21/2014,40,54,47,600,1842
4/22/2014,38,58,48,600,1842
4/23/2014,41,58,50,559,1843
4/24/2014,41,59,50,558,1843
4/25/2014,43,59,51,558,1843
4/26/2014,45,62,54,557,1844
4/27/2014,42,53,48,556,1844
4/28/2014,40,53,47,556,1844
4/29/2014,39,53,46,555,1845
4/30/2014,37,50,44,554,1845
5/1/2014,36,53,45,554,1845
5/2/2014,38,51,45,553,1846
5/3/2014,36,55,46,553,1846
5/4/2014,36,55,46,552,1846
5/5/2014,40,54,47,552,1847
5/6/2014,40,58,49,551,1847
5/7/2014,42,60,51,550,1847
5/8/2014,42,61,52,550,1848
5/9/2014,44,59,52,550,1848
5/10/2014,42,56,49,549,1849
5/11/2014,40,56,48,549,1849
5/12/2014,38,55,47,548,1849
5/13/2014,38,56,47,548,1850
5/14/2014,40,55,48,547,1850
5/15/2014,41,58,50,547,1851
5/16/2014,44,60,52,547,1851
5/17/2014,,,,546,1851
5/18/2014,43,60,52,546,1852
5/19/2014,44,60,52,546,1852
5/20/2014,44,62,53,545,1853
5/21/2014,47,62,55,545,1853
5/22/2014,44,59,52,545,1853
5/23/2014,41,58,50,545,1854
5/24/2014,39,57,48,544,1854
5/25/2014,38,52,45,544,1855
5/26/2014,36,47,42,544,1855
5/27/2014,35,49,42,544,1855
5/28/2014,35,51,43,544,1856
5/29/2014,34,53,44,543,1856
5/30/2014,36,55,46,543,1856
5/31/2014,35,51,43,543,1857
6/1/2014,34,53,44,543,1857
6/2/2014,36,48,42,543,1858
6/3/2014,38,53,46,543,1858
6/4/2014,37,53,45,543,1858
6/5/2014,40,55,48,543,1859
6/6/2014,35,52,44,543,1859
6/7/2014,36,53,45,543,1859
6/8/2014,42,54,48,543,1900
6/9/2014,44,57,51,543,1900
6/10/2014,43,60,52,543,1900
6/11/2014,42,55,49,543,1901
6/12/2014,37,53,45,543,1901
6/13/2014,35,57,46,543,1901
6/14/2014,37,62,50,544,1902
6/15/2014,42,60,51,544,1902
6/16/2014,41,58,50,544,1902
6/17/2014,37,52,45,544,1902
6/18/2014,36,51,44,544,1903
6/19/2014,40,57,49,544,1903
6/20/2014,39,52,46,545,1903
6/21/2014,35,48,42,545,1903
6/22/2014,37,53,45,545,1904
6/23/2014,41,60,51,545,1904
6/24/2014,42,60,51,545,1904
6/25/2014,45,62,54,546,1904
6/26/2014,48,64,56,546,1904
6/27/2014,47,60,54,546,1904
6/28/2014,47,59,53,546,1905
6/29/2014,45,61,53,547,1905
6/30/2014,43,61,52,547,1905
7/1/2014,45,62,54,547,1905
7/2/2014,47,61,54,548,1905
7/3/2014,48,66,57,548,1905
7/4/2014,47,65,56,548,1905
7/5/2014,43,61,52,549,1905
7/6/2014,40,58,49,549,1905
7/7/2014,40,56,48,549,1905
7/8/2014,44,55,50,550,1905
7/9/2014,43,59,51,550,1905
7/10/2014,43,62,53,550,1905
7/11/2014,43,62,53,551,1905
7/12/2014,42,61,52,551,1905
7/13/2014,40,56,48,551,1904
7/14/2014,41,51,46,552,1904
7/15/2014,38,55,47,552,1904
7/16/2014,39,52,46,553,1904
7/17/2014,39,59,49,553,1904
7/18/2014,37,59,48,553,1904
7/19/2014,41,56,49,554,1903
7/20/2014,41,51,46,554,1903
7/21/2014,42,58,50,554,1903
7/22/2014,43,52,48,555,1902
7/23/2014,44,61,53,555,1902
7/24/2014,45,62,54,556,1902
7/25/2014,44,64,54,556,1901
7/26/2014,42,57,50,556,1901
7/27/2014,38,54,46,557,1901
7/28/2014,35,58,47,557,1900
7/29/2014,34,53,44,557,1900
7/30/2014,38,56,47,558,1859
7/31/2014,39,55,47,558,1859
8/1/2014,44,62,53,558,1859
8/2/2014,42,60,51,559,1858
8/3/2014,43,60,52,559,1858
8/4/2014,44,64,54,559,1857
8/5/2014,43,61,52,600,1857
8/6/2014,40,60,50,600,1856
8/7/2014,41,50,46,600,1855
8/8/2014,41,52,47,601,1855
8/9/2014,39,57,48,601,1854
8/10/2014,38,53,46,601,1854
8/11/2014,39,56,48,602,1853
8/12/2014,40,58,49,602,1852
8/13/2014,41,62,52,602,1852
8/14/2014,44,63,54,603,1851
8/15/2014,45,63,54,603,1850
8/16/2014,42,62,52,603,1850
8/17/2014,39,58,49,603,1849
8/18/2014,38,57,48,604,1848
8/19/2014,36,55,46,604,1848
8/20/2014,38,54,46,604,1847
8/21/2014,40,56,48,604,1846
8/22/2014,39,57,48,605,1845
8/23/2014,43,60,52,605,1845
8/24/2014,42,59,51,605,1844
8/25/2014,41,60,51,605,1843
8/26/2014,41,56,49,606,1842
8/27/2014,40,55,48,606,1841
8/28/2014,39,56,48,606,1841
8/29/2014,38,55,47,606,1840
8/30/2014,44,59,52,607,1839
8/31/2014,42,60,51,607,1838
9/1/2014,38,55,47,607,1837
9/2/2014,42,59,51,607,1836
9/3/2014,42,60,51,607,1836
9/4/2014,44,58,51,608,1835
9/5/2014,44,61,53,608,1834
9/6/2014,41,58,50,608,1833
9/7/2014,39,54,47,608,1832
9/8/2014,39,53,46,608,1831
9/9/2014,39,54,47,609,1830
9/10/2014,40,55,48,609,1829
9/11/2014,42,56,49,609,1828
9/12/2014,39,60,50,609,1828
9/13/2014,41,60,51,609,1827
9/14/2014,42,59,51,610,1826
9/15/2014,43,57,50,610,1825
9/16/2014,40,52,46,610,1824
9/17/2014,39,53,46,610,1823
9/18/2014,37,55,46,610,1822
9/19/2014,40,54,47,611,1821
9/20/2014,41,51,46,611,1820
9/21/2014,38,52,45,611,1819
9/22/2014,40,56,48,611,1819
9/23/2014,41,59,50,611,1818
9/24/2014,41,58,50,612,1817
9/25/2014,40,56,48,612,1816
9/26/2014,41,61,51,612,1815
9/27/2014,42,52,47,612,1814
9/28/2014,42,56,49,612,1813
9/29/2014,40,54,47,613,1812
9/30/2014,35,52,44,613,1811
10/1/2014,37,53,45,613,1811
10/2/2014,38,52,45,613,1810
10/3/2014,36,52,44,614,1809
10/4/2014,38,52,45,614,1808
10/5/2014,40,52,46,614,1807
10/6/2014,38,54,46,614,1806
10/7/2014,42,53,48,615,1805
10/8/2014,42,56,49,615,1805
10/9/2014,42,60,51,615,1804
10/10/2014,39,58,49,615,1803
10/11/2014,39,54,47,616,1802
10/12/2014,36,53,45,616,1801
10/13/2014,33,53,43,616,1801
10/14/2014,37,54,46,616,1800
10/15/2014,39,58,49,617,1759
10/16/2014,43,61,52,617,1758
10/17/2014,44,51,48,617,1758
10/18/2014,43,48,46,618,1757
10/19/2014,42,54,48,618,1756
10/20/2014,41,60,51,618,1755
10/21/2014,38,59,49,619,1755
10/22/2014,41,55,48,619,1754
10/23/2014,36,56,46,620,1753
10/24/2014,40,58,49,620,1753
10/25/2014,39,58,49,620,1752
10/26/2014,37,59,48,621,1752
10/27/2014,39,55,47,621,1751
10/28/2014,40,58,49,622,1750
10/29/2014,41,57,49,622,1750
10/30/2014,39,56,48,622,1749
10/31/2014,37,56,47,623,1749
11/1/2014,37,51,44,623,1748
11/2/2014,41,54,48,624,1748
11/3/2014,40,54,47,624,1747
11/4/2014,37,48,43,625,1747
11/5/2014,39,56,48,625,1746
11/6/2014,43,56,50,626,1746
11/7/2014,38,57,48,626,1746
11/8/2014,36,55,46,627,1745
11/9/2014,37,59,48,627,1745
11/10/2014,42,60,51,628,1745
11/11/2014,42,57,50,628,1744
11/12/2014,41,56,49,629,1744
11/13/2014,39,56,48,629,1744
11/14/2014,38,54,46,630,1743
11/15/2014,37,51,44,630,1743
11/16/2014,38,55,47,631,1743
11/17/2014,42,57,50,632,1743
11/18/2014,38,56,47,632,1743
11/19/2014,37,56,47,633,1743
11/20/2014,39,51,45,633,1742
11/21/2014,39,55,47,634,1742
11/22/2014,38,54,46,635,1742
11/23/2014,33,53,43,635,1742
11/24/2014,41,59,50,636,1742
11/25/2014,42,59,51,636,1742
11/26/2014,41,55,48,637,1742
11/27/2014,39,57,48,638,1742
11/28/2014,38,56,47,638,1742
11/29/2014,35,54,45,639,1742
11/30/2014,35,50,43,640,1742
12/1/2014,35,52,44,640,1743
12/2/2014,35,51,43,641,1743
12/3/2014,38,51,45,641,1743
12/4/2014,42,52,47,642,1743
12/5/2014,39,50,45,643,1743
12/6/2014,36,51,44,643,1743
12/7/2014,36,56,46,644,1744
12/8/2014,38,58,48,645,1744
12/9/2014,39,56,48,645,1744
12/10/2014,39,60,50,646,1745
12/11/2014,42,60,51,646,1745
12/12/2014,37,55,46,647,1745
12/13/2014,37,56,47,648,1746
12/14/2014,38,56,47,648,1746
12/15/2014,40,57,49,649,1746
12/16/2014,40,57,49,649,1747
12/17/2014,38,57,48,650,1747
12/18/2014,40,56,48,650,1748
12/19/2014,42,59,51,651,1748
12/20/2014,39,56,48,651,1749
12/21/2014,36,52,44,652,1749
12/22/2014,31,47,39,652,1750
12/23/2014,31,41,36,653,1750
12/24/2014,36,45,41,653,1751
12/25/2014,40,54,47,654,1751
12/26/2014,41,53,47,654,1752
12/27/2014,37,51,44,655,1752
12/28/2014,39,56,48,655,1753
12/29/2014,36,54,45,655,1753
12/30/2014,36,53,45,656,1754
12/31/2014,34,53,44,656,1755
1/1/2015,38,51,45,657,1756
1/2/2015,34,40,37,657,1756
1/3/2015,29,36,33,657,1757
1/4/2015,31,44,38,658,1757
1/5/2015,37,51,44,658,1758
1/6/2015,38,52,45,658,1759
1/7/2015,38,54,46,658,1759
1/8/2015,38,57,48,659,1800
1/9/2015,36,55,46,659,1801
1/10/2015,34,51,43,659,1801
1/11/2015,38,54,46,659,1802
1/12/2015,40,57,49,659,1803
1/13/2015,41,56,49,659,1803
1/14/2015,35,58,47,659,1804
1/15/2015,38,58,48,659,1804
1/16/2015,40,56,48,700,1805
1/17/2015,38,58,48,700,1806
1/18/2015,37,57,47,700,1806
1/19/2015,37,59,48,700,1807
1/20/2015,36,56,46,659,1808
1/21/2015,40,58,49,659,1808
1/22/2015,39,54,47,659,1809
1/23/2015,43,65,54,659,1810
1/24/2015,41,61,51,659,1810
1/25/2015,40,55,48,659,1811
1/26/2015,42,59,51,659,1811
1/27/2015,36,58,47,659,1812
1/28/2015,36,54,45,658,1813
1/29/2015,35,54,45,658,1813
1/30/2015,36,54,45,658,1814
1/31/2015,33,53,43,658,1814
2/1/2015,36,53,45,657,1815
2/2/2015,38,54,46,657,1816
2/3/2015,41,54,48,657,1816
2/4/2015,39,50,45,656,1817
2/5/2015,38,50,44,656,1817
2/6/2015,33,47,40,655,1818
2/7/2015,32,54,43,655,1818
2/8/2015,43,59,51,655,1819
2/9/2015,42,55,49,654,1819
2/10/2015,35,50,43,654,1820
2/11/2015,34,54,44,653,1820
2/12/2015,37,53,45,653,1821
2/13/2015,40,54,47,652,1821
2/14/2015,38,57,48,652,1822
2/15/2015,37,51,44,651,1822
2/16/2015,37,53,45,651,1823
2/17/2015,36,54,45,650,1823
2/18/2015,36,54,45,649,1823
2/19/2015,38,56,47,649,1824
2/20/2015,39,54,47,648,1824
2/21/2015,36,51,44,647,1825
2/22/2015,35,52,44,647,1825
2/23/2015,40,53,47,646,1825
2/24/2015,40,56,48,646,1826
2/25/2015,39,57,48,645,1826
2/26/2015,36,48,42,644,1827
2/27/2015,35,49,42,643,1827
2/28/2015,35,44,40,643,1827
3/1/2015,33,44,39,642,1828
3/2/2015,32,43,38,641,1828
3/3/2015,33,46,40,640,1828
3/4/2015,33,39,36,640,1829
3/5/2015,33,48,41,639,1829
3/6/2015,35,49,42,638,1829
3/7/2015,38,53,46,637,1830
3/8/2015,32,46,39,637,1830
3/9/2015,33,37,35,636,1830
3/10/2015,34,42,38,635,1831
3/11/2015,31,37,34,634,1831
3/12/2015,32,39,36,633,1831
3/13/2015,31,41,36,632,1832
3/14/2015,31,47,39,632,1832
3/15/2015,33,51,42,631,1832
3/16/2015,36,54,45,630,1832
3/17/2015,36,57,47,629,1833
3/18/2015,36,57,47,628,1833
3/19/2015,39,60,50,627,1833
3/20/2015,38,61,50,626,1833
3/21/2015,41,60,51,626,1834
3/22/2015,37,56,47,625,1834
3/23/2015,38,58,48,624,1834
3/24/2015,36,56,46,623,1834
3/25/2015,38,54,46,622,1835
3/26/2015,34,59,47,621,1835
3/27/2015,39,58,49,620,1835
3/28/2015,42,58,50,620,1835
3/29/2015,39,57,48,619,1836
3/30/2015,36,54,45,618,1836
3/31/2015,31,50,41,617,1836
4/1/2015,32,49,41,616,1836
4/2/2015,31,49,40,615,1837
4/3/2015,35,50,43,614,1837
4/4/2015,39,51,45,614,1837
4/5/2015,35,53,44,613,1838
4/6/2015,35,52,44,612,1838
4/7/2015,33,47,40,611,1838
4/8/2015,33,52,43,610,1838
4/9/2015,34,51,43,610,1839
4/10/2015,35,49,42,609,1839
4/11/2015,35,48,42,608,1839
4/12/2015,33,48,41,607,1839
4/13/2015,36,53,45,606,1840
4/14/2015,39,52,46,606,1840
4/15/2015,37,48,43,605,1840
4/16/2015,34,47,41,604,1841
4/17/2015,34,50,42,603,1841
4/18/2015,37,53,45,602,1841
4/19/2015,40,58,49,602,1841
4/20/2015,39,60,50,601,1842
4/21/2015,43,63,53,600,1842
4/22/2015,40,60,50,600,1842
4/23/2015,39,57,48,559,1843
4/24/2015,43,58,51,558,1843
4/25/2015,43,57,50,558,1843
4/26/2015,41,55,48,557,1844
4/27/2015,37,54,46,556,1844
4/28/2015,33,55,44,556,1844
4/29/2015,37,59,48,555,1845
4/30/2015,36,57,47,554,1845
5/1/2015,37,53,45,554,1845
5/2/2015,35,50,43,553,1846
5/3/2015,33,53,43,553,1846
5/4/2015,40,55,48,552,1846
5/5/2015,42,59,51,552,1847
5/6/2015,42,63,53,551,1847
5/7/2015,41,59,50,550,1847
5/8/2015,38,59,49,550,1848
5/9/2015,38,54,46,550,1848
5/10/2015,36,51,44,549,1849
5/11/2015,37,55,46,549,1849
5/12/2015,37,51,44,548,1849
5/13/2015,33,45,39,548,1850
5/14/2015,31,49,40,547,1850
5/15/2015,32,52,42,547,1851
5/16/2015,33,56,45,547,1851
5/17/2015,38,60,49,546,1851
5/18/2015,38,58,48,546,1852
5/19/2015,39,55,47,546,1852
5/20/2015,39,54,47,545,1853
5/21/2015,37,55,46,545,1853
5/22/2015,39,59,49,545,1853
5/23/2015,41,55,48,545,1854
5/24/2015,39,59,49,544,1854
5/25/2015,42,62,52,544,1855
5/26/2015,43,64,54,544,1855
5/27/2015,44,57,51,544,1855
5/28/2015,43,60,52,544,1856
5/29/2015,44,62,53,543,1856
5/30/2015,41,54,48,543,1856
5/31/2015,39,52,46,543,1857
6/1/2015,38,54,46,543,1857
6/2/2015,41,56,49,543,1858
6/3/2015,41,55,48,543,1858
6/4/2015,39,55,47,543,1858
6/5/2015,37,53,45,543,1859
6/6/2015,36,55,46,543,1859
6/7/2015,40,54,47,543,1859
6/8/2015,38,56,47,543,1900
6/9/2015,38,53,46,543,1900
6/10/2015,37,49,43,543,1900
6/11/2015,34,46,40,543,1901
6/12/2015,32,50,41,543,1901
6/13/2015,39,52,46,543,1901
6/14/2015,42,57,50,544,1902
6/15/2015,41,63,52,544,1902
6/16/2015,48,61,55,544,1902
6/17/2015,46,65,56,544,1902
6/18/2015,45,67,56,544,1903
6/19/2015,43,61,52,544,1903
6/20/2015,43,60,52,545,1903
6/21/2015,45,60,53,545,1903
6/22/2015,45,59,52,545,1904
6/23/2015,46,65,56,545,1904
6/24/2015,42,60,51,545,1904
6/25/2015,42,59,51,546,1904
6/26/2015,42,57,50,546,1904
6/27/2015,38,56,47,546,1904
6/28/2015,42,55,49,546,1905
6/29/2015,40,56,48,547,1905
6/30/2015,40,56,48,547,1905
7/1/2015,37,54,46,547,1905
7/2/2015,38,54,46,548,1905
7/3/2015,38,56,47,548,1905
7/4/2015,39,56,48,548,1905
7/5/2015,41,59,50,549,1905
7/6/2015,43,60,52,549,1905
7/7/2015,39,55,47,549,1905
7/8/2015,40,53,47,550,1905
7/9/2015,38,55,47,550,1905
7/10/2015,40,55,48,550,1905
7/11/2015,46,60,53,551,1905
7/12/2015,46,58,52,551,1905
7/13/2015,45,57,51,551,1904
7/14/2015,45,60,53,552,1904
7/15/2015,44,66,55,552,1904
7/16/2015,43,59,51,553,1904
7/17/2015,41,54,48,553,1904
7/18/2015,39,56,48,553,1904
7/19/2015,43,56,50,554,1903
7/20/2015,40,51,46,554,1903
7/21/2015,37,49,43,554,1903
7/22/2015,37,52,45,555,1902
7/23/2015,39,59,49,555,1902
7/24/2015,43,59,51,556,1902
7/25/2015,45,56,51,556,1901
7/26/2015,42,58,50,556,1901
7/27/2015,44,55,50,557,1901
7/28/2015,40,55,48,557,1900
7/29/2015,46,62,54,557,1900
7/30/2015,48,64,56,558,1859
7/31/2015,45,63,54,558,1859
8/1/2015,46,66,56,558,1859
8/2/2015,45,52,49,559,1858
8/3/2015,44,51,48,559,1858
8/4/2015,40,54,47,559,1857
8/5/2015,43,56,50,600,1857
8/6/2015,41,54,48,600,1856
8/7/2015,41,59,50,600,1855
8/8/2015,43,64,54,601,1855
8/9/2015,43,63,53,601,1854
8/10/2015,40,59,50,601,1854
8/11/2015,39,55,47,602,1853
8/12/2015,40,55,48,602,1852
8/13/2015,40,56,48,602,1852
8/14/2015,44,56,50,603,1851
8/15/2015,41,53,47,603,1850
8/16/2015,41,52,47,603,1850
8/17/2015,42,53,48,603,1849
8/18/2015,40,52,46,604,1848
8/19/2015,39,52,46,604,1848
8/20/2015,38,51,45,604,1847
8/21/2015,42,65,54,604,1846
8/22/2015,46,59,53,605,1845
8/23/2015,45,57,51,605,1845
8/24/2015,43,48,46,605,1844
8/25/2015,42,52,47,605,1843
8/26/2015,42,55,49,606,1842
8/27/2015,41,57,49,606,1841
8/28/2015,43,59,51,606,1841
8/29/2015,42,59,51,606,1840
8/30/2015,42,56,49,607,1839
8/31/2015,41,55,48,607,1838
9/1/2015,42,60,51,607,1837
